index,symbol,company,earning_dates,eps_estimates,eps_reported,surprise_percent
168,ABT,Abbott Laboratories,"Jul 13, 2005, 12 AMEDT",0.57,0.58,1.5
169,ABT,Abbott Laboratories,"Apr 12, 2005, 12 AMEDT",0.58,0.58,
170,ABT,Abbott Laboratories,"Jan 18, 2005, 12 AMEST",0.67,0.67,0.32
171,ABT,Abbott Laboratories,"Oct 14, 2004, 12 AMEDT",0.53,0.53,0.58
172,ABT,Abbott Laboratories,"Jul 09, 2004, 12 AMEDT",0.54,0.54,-0.23
173,ABT,Abbott Laboratories,"Apr 08, 2004, 12 AMEDT",0.56,0.57,1.09
174,ABT,Abbott Laboratories,"Jan 16, 2004, 12 AMEST",0.65,0.65,0.19
175,ABT,Abbott Laboratories,"Oct 09, 2003, 12 AMEDT",0.53,0.53,-0.33
176,ABT,Abbott Laboratories,"Jul 10, 2003, 12 AMEDT",0.52,0.52,0.11
177,ABT,Abbott Laboratories,"Apr 09, 2003, 12 AMEDT",0.51,0.51,0.37
178,ABT,Abbott Laboratories,"Jan 16, 2003, 12 AMEST",0.56,0.55,-1.39
179,ABT,Abbott Laboratories,"Oct 09, 2002, 12 AMEDT",0.48,0.48,-0.12
180,ABT,Abbott Laboratories,"Jul 11, 2002, 12 AMEDT",0.49,0.49,-0.95
181,ABT,Abbott Laboratories,"Apr 09, 2002, 12 AMEDT",0.54,0.54,-0.1
182,ABT,Abbott Laboratories,"Jan 16, 2002, 12 AMEST",0.52,0.52,0.97
183,ABT,Abbott Laboratories,"Oct 10, 2001, 12 AMEDT",0.44,0.44,-0.11
184,ABT,Abbott Laboratories,"Jul 12, 2001, 12 AMEDT",0.45,0.45,0.62
185,ABT,Abbott Laboratories,"Apr 12, 2001, 12 AMEDT",0.47,0.47,-0.92
186,ABT,Abbott Laboratories,"Jan 16, 2001, 12 AMEST",0.48,0.48,0.7
187,ABT,Abbott Laboratories,"Oct 10, 2000, 12 AMEDT",0.42,0.42,-0.13
188,ABT,Abbott Laboratories,"Jul 12, 2000, 12 AMEDT",0.44,0.44,0.4
189,ABT,Abbott Laboratories,"Apr 11, 2000, 12 AMEDT",0.44,0.44,
190,ABT,Abbott Laboratories,"Jan 18, 2000, 12 AMEST",0.43,0.43,-0.13
191,ABT,Abbott Laboratories,"Oct 11, 1999, 12 AMEDT",0.38,0.38,-0.17
192,ABT,Abbott Laboratories,"Jul 09, 1999, 12 AMEDT",0.42,0.42,-0.14
193,ABT,Abbott Laboratories,"Apr 08, 1999, 12 AMEDT",0.43,0.44,3.53
194,ABT,Abbott Laboratories,"Jan 15, 1999, 12 AMEST",0.41,0.41,0.14
195,ABT,Abbott Laboratories,"Oct 08, 1998, 12 AMEDT",0.34,0.34,
196,ABT,Abbott Laboratories,"Jul 09, 1998, 12 AMEDT",0.37,0.38,1.88
197,ABT,Abbott Laboratories,"Apr 09, 1998, 12 AMEDT",0.38,0.38,
198,ABT,Abbott Laboratories,"Jan 16, 1998, 12 AMEST",0.37,0.37,-0.15
199,ABT,Abbott Laboratories,"Oct 08, 1997, 12 AMEDT",0.31,0.31,
200,ABBV,AbbVie Inc.,"Jul 29, 2022, 3 AMEDT",3.31,3.37,1.69
